City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
St. Pete Beach,27.7253,-82.7412,62.01,60,0,5.01,US,1613872528
Henties Bay,-22.116,14.2845,62.01,88,34,5.99,NA,1613872528
Uray,60.1247,64.7758,-22.65,87,90,4.5,RU,1613872343
Algiers,36.7525,3.042,68.0,26,0,5.75,DZ,1613872589
Iwanai,42.9744,140.5089,26.98,90,100,14.63,JP,1613872589
Warwick,41.7001,-71.4162,30.0,59,90,11.5,US,1613872589
Dwārka,22.2394,68.9678,72.68,47,80,14.18,IN,1613872401
Yacuiba,-22.038,-63.6797,75.79,72,97,2.77,BO,1613872589
Clyde River,70.4692,-68.5914,-34.6,67,1,6.29,CA,1613872323
Fortuna,40.5982,-124.1573,48.99,81,40,13.8,US,1613872590
Paamiut,61.994,-49.6678,6.15,88,48,12.71,GL,1613872590
Sal Rei,16.1833,-22.9167,66.2,77,20,11.5,CV,1613872590
Koumac,-20.5667,164.2833,85.51,68,100,5.95,NC,1613872590
Takhtamygda,54.1,123.5667,-5.84,83,96,2.91,RU,1613872590
Crowley,30.2141,-92.3746,46.4,61,1,4.61,US,1613872590
Vengerovo,55.6848,76.7471,-5.26,92,100,10.22,RU,1613872591
Muravlenko,63.7898,74.523,-21.95,88,100,7.63,RU,1613872591
Cidreira,-30.1811,-50.2056,73.15,81,39,7.78,BR,1613872591
Tiksi,71.6872,128.8694,-26.37,84,35,2.42,RU,1613872591
Poronaysk,49.2167,143.1167,23.49,90,96,11.01,RU,1613872591
Talara,-4.5772,-81.2719,72.55,83,35,11.63,PE,1613872591
Raduzhny,62.0961,77.475,-12.87,89,100,7.58,RU,1613872592
Nador,35.174,-2.9287,59.0,94,90,5.75,MA,1613872592
Rio Grande,-32.035,-52.0986,69.01,93,39,9.53,BR,1613872431
San Juan,-31.5375,-68.5364,78.89,33,0,6.24,AR,1613872511
Bayburt,40.2589,40.2278,5.72,88,0,2.06,TR,1613872592
Peniche,39.3558,-9.3811,50.0,92,100,1.99,PT,1613872592
Esperance,-33.8667,121.9,69.8,56,0,6.91,AU,1613872593
Matamoros,25.5333,-103.25,78.8,14,1,4.97,MX,1613872593
Sørland,67.667,12.6934,37.22,92,100,21.92,NO,1613872419
Fallon,39.4735,-118.7774,44.6,39,90,10.36,US,1613872593
Tocopilla,-22.092,-70.1979,67.12,65,16,9.37,CL,1613872313
Kizhinga,51.8462,109.9097,-5.6,82,28,17.56,RU,1613872593
Muromtsevo,56.3724,75.2418,-7.92,90,100,6.4,RU,1613872594
Kurchum,48.5722,83.6542,-2.22,89,12,1.81,KZ,1613872594
Kawalu,-7.3817,108.2082,82.85,62,62,2.91,ID,1613872594
Newport,51.5877,-2.9984,51.01,85,82,10.76,GB,1613872594
Dingli,35.8614,14.3822,54.0,100,20,6.91,MT,1613872594
Tutóia,-2.7619,-42.2744,78.21,87,100,8.77,BR,1613872595
Eureka,40.8021,-124.1637,50.0,74,25,8.01,US,1613872595
Dhībān,35.0365,40.5167,41.38,60,4,7.11,SY,1613872595
Québec,46.8123,-71.2145,19.4,94,95,1.14,CA,1613872353
Vostok,46.4856,135.8833,8.85,92,87,4.12,RU,1613872595
Weston,26.1004,-80.3998,66.2,72,1,14.97,US,1613872596
Ganzhou,28.8184,115.4327,63.41,55,0,4.76,CN,1613872596
Helena,46.5927,-112.0361,32.0,55,40,17.27,US,1613872584
Assiut,27.181,31.1837,46.4,71,0,10.36,EG,1613872596
Kabale,-1.2486,29.9899,56.95,83,100,2.93,UG,1613872596
Buala,-8.145,159.5921,84.02,77,88,8.52,SB,1613872596
Yima,34.7381,111.8839,73.0,99,0,14.74,CN,1613872597
Longonjo,-12.9067,15.2533,59.45,91,100,1.74,AO,1613872657
Mwense,-10.3845,28.698,65.41,91,100,6.51,ZM,1613872657
Calatayud,41.3535,-1.6432,48.2,93,90,5.75,ES,1613872657
Bilibino,68.0546,166.4372,-18.49,72,3,1.81,RU,1613872657
Port Macquarie,-31.4333,152.9167,71.6,100,75,11.5,AU,1613872657
Wellington,-41.2866,174.7756,70.0,60,76,21.85,NZ,1613872401
Kruisfontein,-34.0033,24.7314,66.0,73,99,1.01,ZA,1613872658
Yulara,-25.2406,130.9889,93.2,27,9,12.66,AU,1613872658
Kiryat Gat,31.61,34.7642,46.0,100,0,6.13,IL,1613872622
Morondava,-20.2833,44.2833,80.26,83,100,3.96,MG,1613872658
San Rafael,-34.6177,-68.3301,73.89,38,0,7.58,AR,1613872659
Beringovskiy,63.05,179.3167,-13.27,84,17,11.56,RU,1613872659
Švenčionys,55.15,26.1667,31.73,99,100,8.16,LT,1613872659
San Bernardo,-33.6,-70.7167,71.01,52,0,6.91,CL,1613872659
Ostrovnoy,68.0531,39.5131,-16.51,88,94,8.08,RU,1613872659
Jiuquan,39.7432,98.5174,38.91,55,20,2.42,CN,1613872660
Zhoucheng,35.9122,116.3117,59.0,1,0,8.77,CN,1613872660
Abnūb,27.2696,31.1511,46.4,71,0,10.36,EG,1613872371
Talca,-35.4333,-71.6667,71.6,40,0,4.61,CL,1613872570
Cherskiy,68.75,161.3,-27.17,85,100,4.45,RU,1613872660
Yarmouth,41.7057,-70.2286,30.99,55,20,12.66,US,1613872661
San Diego,32.7153,-117.1573,60.8,63,20,8.05,US,1613872383
Nadym,65.5333,72.5167,-40.2,82,9,3.44,RU,1613872661
Merrill,45.1805,-89.6835,15.8,85,1,6.15,US,1613872661
Riihimäki,60.7377,24.7773,36.0,98,100,1.99,FI,1613872662
Vao,-22.6667,167.4833,79.95,83,99,17.94,NC,1613872382
Abilay,10.7333,122.5,75.24,78,100,6.76,PH,1613872662
Komsomolets,53.7453,62.0708,-13.63,84,0,7.09,KZ,1613872662
Griffith,41.5284,-87.4237,21.2,73,1,4.61,US,1613872662
West Plains,36.7281,-91.8524,36.0,55,1,8.05,US,1613872628
Puri,19.8,85.85,66.2,72,20,7.02,IN,1613872472
Diffa,13.3154,12.6113,62.15,35,7,10.36,NE,1613872663
Waddān,29.1614,16.139,52.9,42,0,7.16,LY,1613872663
Bengkulu,-3.8004,102.2655,82.44,69,95,3.44,ID,1613872663
Wanning,18.8003,110.3967,70.74,66,4,3.56,CN,1613872663
Fiumicino,41.7675,12.2291,46.99,100,0,3.44,IT,1613872663
Villarrobledo,39.2699,-2.6012,45.0,90,100,11.99,ES,1613872663
Quang Ngai,15.1167,108.8,71.64,74,5,2.62,VN,1613872664
Roald,62.5833,6.1333,50.0,62,75,14.97,NO,1613872664
Pingliang,35.5392,106.6861,51.4,39,9,5.44,CN,1613872664
Rāver,21.25,76.0333,66.72,26,69,6.02,IN,1613872664
Mogwase,-25.185,27.2665,69.22,35,45,2.39,ZA,1613872664
Nome,64.5011,-165.4064,-2.2,60,1,5.75,US,1613872664
Shinyanga,-3.6667,33.4333,64.87,92,100,6.64,TZ,1613872664
